Part Num,Gender,Age,Reside,Student,N4U1,N4U2,N4U3,N4U4,N4U5,N4U6,N4U7,N4U8,N4U9,N4U10,N4U11,N4U12,N4U13,N4U14,N4U15,N4U16,N4U17,N4U18,N4U19,N4U20,N4U21,N4U22,N4U23,N4U24,N4U25,N4U26,N4U27,N4U28,N4U29,N4U30,N4U31,N4U32,N4UTOT,N4U-1,N4U-2,N4U-3
166,2,19,1,1,2,3,4,4,4,1,3,1,2,2,4,4,4,1,3,3,3,1,2,2,3,4,2,4,4,4,3,2,4,4,3,1,91,48,26,17
167,2,40,1,1,1,1,2,1,4,1,5,1,1,4,3,5,4,3,4,3,5,1,4,4,5,3,4,2,2,3,2,2,4,4,3,3,94,46,35,13
168,2,18,1,1,4,2,3,2,4,1,4,2,4,2,4,3,3,2,4,4,3,3,2,4,4,4,4,3,4,4,4,2,4,3,3,2,101,49,31,21
169,2,20,1,1,2,2,4,4,4,2,5,4,3,3,3,1,5,2,1,3,1,2,2,3,3,4,3,3,1,3,4,4,3,4,4,2,94,47,33,14
170,2,41,1,1,3,2,2,4,3,1,2,2,2,4,2,3,3,4,2,2,2,1,2,3,2,4,4,2,4,3,3,4,2,2,3,3,85,42,28,15
171,1,19,1,1,1,3,2,3,2,1,3,1,3,1,3,1,2,1,4,1,3,2,2,2,4,5,2,2,5,4,3,4,4,4,4,3,85,43,28,14
172,1,19,1,1,3,4,4,5,3,2,1,3,4,4,2,2,3,4,4,4,1,5,2,2,3,3,2,4,5,4,3,4,4,3,4,5,106,45,38,23
173,2,20,1,1,3,5,2,3,5,1,4,1,5,1,5,4,3,1,1,1,5,1,5,1,1,5,4,3,3,5,4,4,4,3,4,3,100,65,23,12
174,2,19,1,1,2,3,3,4,2,1,2,2,2,4,4,2,3,2,4,3,2,1,1,2,3,4,4,3,3,4,4,4,3,4,3,3,91,45,29,17
175,2,21,1,1,1,5,5,1,5,1,5,1,5,1,5,1,5,5,1,1,5,1,5,1,1,5,5,1,1,5,5,5,1,1,5,1,96,71,19,6
176,2,20,1,1,4,3,2,4,3,1,4,2,4,4,2,3,4,3,2,4,2,3,2,2,4,3,5,3,4,4,2,2,5,2,4,4,100,45,36,19
177,2,19,1,1,2,2,2,2,2,1,2,3,2,1,2,2,5,1,2,4,4,3,3,2,3,4,4,3,5,4,5,1,1,3,3,3,86,45,22,19
178,2,20,1,1,4,2,2,2,3,1,2,3,2,2,2,3,3,2,2,2,2,2,3,3,3,2,3,2,2,3,2,2,2,3,2,2,75,36,24,15
179,2,20,1,1,2,2,2,3,2,2,2,1,2,2,2,2,4,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,72,34,27,11
180,2,20,1,1,2,3,4,3,4,1,4,2,1,3,2,3,4,3,2,2,4,2,4,2,3,4,4,3,4,5,4,2,4,4,4,3,99,52,32,15
181,2,19,1,1,4,2,4,3,4,1,4,1,2,2,2,2,4,2,2,4,2,1,2,2,2,3,2,3,4,4,4,3,4,2,2,1,84,42,24,18
182,2,21,1,1,5,1,2,3,2,1,1,2,1,3,2,3,5,1,5,1,1,3,2,1,1,2,2,2,3,4,1,1,1,2,1,3,68,30,20,18
183,2,19,1,1,2,1,1,4,4,1,2,2,1,1,2,3,2,1,1,1,2,2,2,1,2,2,1,2,1,4,2,2,1,2,1,1,57,30,18,9
184,2,20,1,1,2,2,2,2,3,3,4,1,5,1,4,4,4,2,4,4,1,1,1,2,3,4,2,2,5,3,4,4,4,3,4,4,94,47,29,18
185,2,18,1,1,1,1,2,3,4,2,3,1,2,3,2,4,2,2,2,3,3,4,3,4,4,2,2,2,4,4,2,2,4,2,4,2,85,39,33,13
186,2,21,1,1,4,2,3,3,2,1,3,2,2,2,3,2,2,2,3,3,2,2,2,2,3,3,3,3,3,4,4,4,3,2,3,2,84,41,25,18
187,2,19,1,1,3,3,2,4,3,2,3,2,4,3,4,3,4,2,3,3,4,3,3,3,3,4,3,3,4,3,4,4,3,3,3,3,101,51,32,18
188,2,20,1,1,4,2,2,4,4,1,5,3,2,2,2,2,3,3,2,2,4,5,3,4,3,5,4,2,3,4,3,4,4,3,2,2,98,46,36,16
189,2,18,1,1,4,4,3,2,1,1,4,5,5,4,5,3,5,3,2,1,3,1,4,1,2,5,3,3,3,5,5,4,3,2,4,1,101,59,24,18
190,2,22,1,1,1,4,5,3,3,1,2,1,5,1,5,4,5,1,4,5,5,1,5,1,3,5,5,5,4,5,4,4,4,1,2,1,105,66,19,20
191,2,19,1,1,5,2,3,4,4,1,5,2,5,1,4,3,4,3,3,2,2,4,2,3,4,5,4,5,5,2,5,4,4,2,3,3,108,52,34,22
192,3,21,1,1,2,2,2,3,2,1,4,4,2,2,4,2,4,2,3,3,2,1,2,3,2,2,4,3,4,4,4,2,3,2,4,4,88,42,27,19
193,1,19,1,1,3,3,3,3,2,2,4,2,2,3,3,2,2,3,3,3,3,4,3,2,4,3,3,3,3,5,4,2,3,3,2,5,95,42,36,17
194,2,20,1,1,4,2,2,4,4,2,4,2,3,2,3,2,4,2,2,2,2,1,3,2,4,3,3,3,3,4,4,3,3,2,3,3,90,45,29,16
195,2,21,1,1,3,2,1,4,2,1,2,2,4,4,4,4,4,2,2,4,4,1,4,2,2,4,4,4,4,4,4,5,4,2,2,4,99,52,28,19
196,2,20,1,1,2,2,2,3,2,2,4,3,2,2,2,3,4,2,2,2,2,1,1,2,2,1,1,2,4,4,4,2,2,2,2,2,73,34,24,15
197,2,19,1,1,4,2,2,4,2,4,1,5,4,3,3,5,4,3,5,3,3,3,3,4,5,4,4,4,5,4,4,4,2,4,2,5,114,50,38,26
198,2,21,1,1,3,1,2,4,1,1,4,2,4,2,4,1,5,1,1,2,3,1,1,5,3,4,4,3,3,4,3,1,1,2,3,3,82,41,27,14
199,2,19,1,1,3,2,3,2,4,2,2,2,3,4,2,3,3,3,3,4,3,4,5,2,4,3,3,2,4,3,2,3,4,3,4,3,97,46,33,18
200,2,21,1,1,5,4,4,3,5,3,5,2,2,4,5,1,2,4,3,3,5,3,5,4,4,4,4,3,3,5,4,3,5,4,4,5,120,57,44,19
201,2,34,1,1,2,3,2,5,5,3,2,1,4,5,5,1,3,1,5,5,5,2,4,5,5,5,2,3,5,5,5,5,5,5,5,5,123,59,43,21
202,2,21,1,1,4,2,3,4,3,1,4,1,4,4,4,4,1,4,4,4,5,3,4,4,5,4,4,4,4,4,5,4,5,4,5,4,119,56,42,21
203,2,19,1,1,2,4,4,2,4,2,4,1,2,2,2,4,4,3,2,2,4,4,2,3,4,4,4,4,4,3,4,4,2,2,4,3,99,53,31,15
204,2,20,1,1,4,1,2,4,2,1,4,1,1,3,1,2,4,3,2,1,3,2,3,2,3,3,4,2,2,3,3,1,2,4,4,4,81,37,32,12
205,2,19,1,1,4,3,4,4,3,1,4,1,2,4,2,3,4,2,2,3,4,3,3,2,3,3,3,2,3,4,3,2,4,3,3,2,93,46,32,15
206,1,21,1,1,2,4,4,2,3,2,5,3,4,2,4,2,5,5,2,3,4,3,4,1,2,4,4,1,2,4,4,5,1,1,5,2,99,60,26,13
207,1,39,1,1,2,2,3,4,3,2,4,2,2,3,3,4,3,3,4,4,2,3,4,3,4,4,3,3,4,3,3,4,4,2,2,3,99,45,35,19
208,2,19,1,1,4,2,2,4,5,2,4,3,4,4,4,4,2,3,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,4,3,3,114,53,38,23
209,2,20,1,1,1,2,2,4,2,2,3,1,2,4,4,2,4,4,3,2,2,1,5,2,2,4,2,2,2,4,4,3,4,2,4,3,88,46,31,11
210,2,20,1,1,4,2,2,3,2,2,3,2,3,3,3,3,2,3,4,2,2,2,2,3,4,2,2,2,2,3,3,2,4,2,3,3,84,36,32,16
211,2,20,1,1,2,2,2,4,2,2,4,3,2,3,3,4,2,3,3,3,2,3,4,4,4,3,2,2,3,3,2,3,3,3,2,3,90,38,36,16
212,2,18,1,1,2,1,2,2,3,1,2,4,2,2,2,1,3,1,4,1,1,2,2,2,2,4,4,4,4,3,2,2,4,4,4,3,80,36,25,19
213,2,19,1,1,2,2,2,4,3,1,4,2,3,4,3,2,3,3,2,2,4,2,3,2,3,4,4,2,4,4,2,3,2,3,3,3,90,45,31,14
214,2,20,1,1,2,2,2,3,2,2,4,2,2,2,2,3,2,2,3,4,2,1,2,2,4,3,4,2,3,2,2,2,4,2,3,2,79,35,28,16
215,2,25,1,1,5,3,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,5,2,3,4,4,4,3,4,4,4,3,2,3,4,2,115,54,39,22
216,1,21,1,1,5,2,5,4,4,1,2,2,1,4,4,4,5,1,2,5,2,5,4,1,2,2,5,4,5,4,5,2,1,4,4,1,102,53,26,23
217,2,20,1,1,2,2,4,3,2,1,2,2,5,3,2,3,3,2,3,3,2,2,3,1,3,2,2,1,4,4,5,3,4,2,3,1,84,45,24,15
218,2,20,1,1,1,2,4,4,5,1,4,1,3,2,4,2,4,2,2,4,4,1,4,2,2,5,3,4,4,3,4,3,4,3,3,4,98,53,29,16
219,2,19,1,1,5,4,1,5,4,4,4,1,3,4,5,4,3,3,3,5,4,4,3,5,5,5,4,5,5,5,5,4,2,5,5,5,129,59,46,24
220,1,20,1,1,4,2,2,5,3,4,5,3,4,4,2,4,1,2,4,4,3,4,5,5,4,4,5,2,5,5,3,3,2,4,2,4,113,48,43,22
221,2,20,1,1,1,1,3,4,4,1,2,4,2,1,2,4,3,1,2,4,4,1,5,3,2,3,4,3,3,2,4,2,3,2,1,2,83,44,22,17
222,2,22,1,1,4,2,3,3,4,2,5,1,2,5,1,1,3,4,3,4,5,5,3,4,3,4,2,4,5,4,3,4,1,3,4,4,105,45,39,21
223,1,18,1,1,4,2,4,2,4,1,4,1,3,3,4,2,2,3,4,4,3,1,2,2,4,3,4,3,4,4,3,4,4,3,4,3,98,48,30,20
224,1,20,1,1,4,4,2,5,2,2,5,4,5,4,3,2,4,2,4,4,5,1,5,2,5,5,4,4,5,3,5,4,1,4,2,1,112,55,32,25
225,2,18,1,1,5,2,2,4,2,2,3,3,3,3,3,4,3,2,4,3,3,3,3,3,2,3,3,3,3,3,4,3,2,3,3,3,95,44,30,21
226,2,19,1,1,2,1,2,1,4,1,3,3,2,2,3,3,5,2,2,3,3,2,2,3,3,4,2,2,4,3,3,3,3,2,3,4,85,43,26,16
227,2,21,1,1,4,2,2,3,1,1,3,4,2,4,2,4,5,3,2,1,3,3,3,2,3,2,1,1,3,2,3,2,1,2,3,3,80,37,28,15
228,2,26,1,1,3,2,4,2,3,1,5,1,3,2,2,1,4,3,4,4,3,2,4,2,4,4,4,3,4,4,4,3,2,2,3,2,94,48,27,19
229,2,19,1,1,5,2,3,4,4,3,4,4,1,2,4,2,4,1,3,3,4,1,2,3,1,2,2,4,4,2,3,4,5,2,3,4,95,42,30,23
230,2,20,1,1,2,1,1,3,4,1,5,2,2,4,2,4,1,3,2,2,2,2,4,2,4,3,2,2,4,4,3,4,4,2,2,3,86,39,33,14
231,2,21,1,1,2,2,2,4,4,1,3,1,2,3,4,2,5,2,2,1,1,1,1,3,2,2,4,1,1,3,2,1,2,1,2,2,69,37,24,8
232,2,20,1,1,3,3,2,3,3,4,4,1,2,4,4,4,3,4,4,4,2,3,4,3,4,4,4,3,4,4,4,3,4,3,3,4,108,49,40,19
233,2,18,1,1,1,1,1,3,2,1,2,1,2,1,2,3,3,1,1,2,1,2,1,3,3,1,1,1,3,3,1,1,3,3,1,1,56,24,23,9
234,2,19,1,1,1,5,5,1,5,1,5,1,5,1,5,1,5,5,1,1,5,1,5,1,1,5,5,1,1,5,5,5,1,1,5,1,96,71,19,6
235,2,20,1,1,2,4,3,3,4,4,2,4,3,4,4,4,3,3,5,3,5,3,5,3,4,4,4,4,4,4,4,4,2,2,4,4,115,59,34,22
236,2,19,1,1,4,1,2,4,4,1,2,1,3,2,4,3,4,2,3,4,4,2,4,1,4,2,4,4,5,5,3,2,2,4,3,2,95,48,26,21
237,2,20,1,1,5,1,1,2,3,1,1,1,1,3,1,5,3,1,1,1,1,1,3,2,4,3,3,1,3,4,1,1,1,1,1,3,64,32,20,12
238,2,20,1,1,5,5,4,4,3,1,2,4,4,4,3,4,4,2,4,4,4,1,4,3,3,3,5,1,4,4,4,4,4,2,4,4,111,59,30,22
239,2,21,1,1,4,4,4,2,4,2,4,2,4,2,4,2,3,3,3,3,4,3,5,2,4,4,4,4,4,5,5,5,3,3,4,3,112,61,31,20
240,2,19,1,1,2,2,2,2,3,2,2,3,3,4,2,3,2,4,2,3,4,3,4,2,3,2,2,2,4,3,2,3,5,4,4,3,91,41,34,16
241,2,19,1,1,4,3,3,2,3,2,2,1,3,3,3,2,3,2,2,3,2,2,3,2,2,3,3,3,3,4,4,3,4,2,2,3,86,44,26,16
242,2,20,1,1,2,2,2,3,4,2,3,3,2,4,2,2,3,2,4,4,2,2,2,4,2,2,2,2,2,2,4,2,4,3,3,3,85,36,32,17
243,2,19,1,1,3,1,2,1,5,1,3,1,5,3,3,4,5,2,4,5,3,1,1,4,3,5,2,5,5,4,5,5,1,4,5,3,104,55,26,23
244,2,20,1,1,3,3,4,4,2,1,4,4,4,4,4,2,4,3,4,3,4,5,2,3,4,4,3,3,5,4,4,4,4,3,4,2,111,52,37,22
245,2,22,1,1,1,2,2,3,3,1,3,1,4,2,3,2,3,3,1,2,3,2,4,4,3,3,4,2,2,4,3,2,3,3,3,2,83,45,29,9
246,2,19,1,1,1,1,1,3,2,1,4,1,3,3,2,2,3,2,1,1,2,3,2,2,3,3,1,2,2,4,3,3,1,1,4,3,70,36,26,8
247,2,19,1,1,3,4,4,3,4,1,2,2,4,3,2,3,4,4,4,4,3,2,4,3,4,4,3,3,4,4,4,4,4,4,4,4,109,55,34,20
248,2,19,1,1,3,1,1,4,4,1,5,1,4,4,3,3,3,4,3,3,3,3,3,4,3,4,3,3,5,3,4,2,4,2,3,4,100,44,38,18
249,2,19,1,1,1,3,2,5,4,2,5,1,5,4,5,5,1,4,4,4,2,5,5,3,4,5,5,2,4,3,5,2,3,4,4,4,115,56,43,16
250,2,19,1,1,1,3,5,4,4,1,4,1,2,1,3,1,4,3,4,4,4,2,3,2,4,4,5,3,4,5,4,2,5,2,3,4,101,52,32,17
251,2,25,1,1,1,3,5,3,3,1,5,5,2,1,3,2,5,1,4,4,2,1,5,1,3,5,5,4,5,3,4,2,5,3,3,2,101,52,26,23
252,2,23,1,1,3,4,2,3,3,1,2,1,4,2,4,2,4,2,2,2,2,1,4,3,2,4,4,2,4,4,3,4,3,3,4,2,90,52,24,14
253,2,28,1,1,4,2,4,4,2,2,2,2,2,4,4,2,4,2,2,4,2,2,2,2,2,4,4,2,4,4,4,2,4,2,2,4,92,44,30,18
254,2,19,1,1,2,2,4,1,2,1,2,1,1,2,2,1,5,2,2,2,2,1,1,2,1,4,2,2,4,5,4,1,2,1,2,1,67,38,16,13
255,2,20,1,1,2,2,5,1,1,1,1,1,2,1,5,5,5,1,1,2,2,1,4,1,2,4,4,4,4,4,4,2,4,3,1,1,81,50,17,14
256,2,19,1,1,1,3,2,3,1,1,2,3,2,2,2,2,4,2,1,1,2,2,1,2,2,2,3,1,2,4,3,3,2,3,2,1,67,36,22,9
257,2,19,1,1,4,3,4,3,3,4,2,4,2,4,4,4,2,3,4,4,4,1,4,3,2,3,4,4,5,3,4,4,1,2,3,2,103,51,27,25
258,2,20,1,1,4,3,3,4,4,1,5,1,3,4,2,2,3,5,3,4,4,4,4,4,3,5,5,4,4,3,5,4,2,3,4,4,113,54,39,20
259,2,20,1,1,1,5,4,3,4,2,4,4,3,2,4,3,3,2,4,3,2,3,3,2,3,4,2,3,2,4,4,2,2,2,2,4,95,49,29,17
260,2,18,1,1,2,2,2,3,2,2,3,2,2,3,2,3,3,2,2,2,2,3,2,4,3,2,2,2,2,2,2,2,2,3,2,3,75,32,31,12
261,2,20,1,1,2,2,4,2,2,2,2,3,4,4,3,2,4,2,3,4,2,1,2,3,3,4,3,4,4,4,3,4,4,2,3,2,93,46,27,20
262,1,29,1,1,4,3,2,5,4,5,5,2,2,4,2,3,4,4,3,2,2,2,4,4,2,5,3,1,2,4,3,2,2,2,2,4,98,45,39,14
263,2,19,1,1,4,1,2,4,3,1,3,1,1,2,2,2,3,1,3,4,5,2,5,2,3,4,4,4,4,4,3,3,2,3,2,2,89,44,25,20
264,2,21,1,1,5,2,3,3,4,2,3,3,2,2,2,2,4,2,4,4,2,1,3,3,2,4,4,4,4,4,4,2,4,2,4,4,98,46,28,24
265,2,18,1,1,4,4,3,2,3,1,2,4,3,2,2,4,4,1,2,3,3,1,1,1,3,4,2,2,4,4,2,4,2,1,3,1,82,46,17,19
266,2,41,1,1,5,5,5,5,3,1,3,5,3,5,5,5,5,5,5,5,5,2,3,3,3,3,3,3,3,3,3,3,4,2,3,5,121,57,38,26
267,2,20,1,1,2,3,4,3,2,1,5,4,2,4,4,3,2,3,2,4,2,3,2,4,4,4,4,4,5,4,4,3,4,2,4,4,105,47,37,21
268,2,18,1,1,1,3,5,3,4,1,1,1,3,5,5,4,3,4,4,4,5,5,3,3,5,5,5,5,3,5,4,4,5,5,5,4,122,63,41,18
269,2,20,1,1,3,1,1,3,2,1,2,5,3,5,4,3,3,3,3,4,3,3,5,2,3,5,2,3,4,3,4,4,3,3,4,4,101,47,32,22
270,2,19,1,1,4,3,4,5,2,3,3,4,4,4,5,3,2,3,2,4,4,1,4,4,3,3,4,4,5,4,5,5,4,3,3,4,115,55,37,23
271,2,19,1,1,4,2,2,3,3,4,4,2,4,4,3,5,2,4,3,3,5,3,5,5,5,4,5,5,5,5,5,3,3,4,4,4,122,57,43,22
272,2,19,1,1,4,2,2,2,2,1,4,4,2,1,2,2,4,2,4,4,3,4,3,2,2,2,2,2,4,4,2,4,2,3,4,4,89,40,27,22
273,2,19,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,96,45,33,18
274,2,47,1,1,4,4,4,2,4,1,2,3,3,1,5,4,5,2,4,4,4,2,5,1,3,5,5,3,3,5,3,5,2,2,4,2,106,65,20,21
275,2,40,1,1,4,1,3,3,4,1,3,4,2,1,2,1,2,1,3,4,2,1,5,3,3,4,4,3,4,4,5,2,4,3,3,2,91,44,25,22
276,2,20,1,1,3,2,2,3,3,1,3,4,2,3,3,2,4,3,3,3,3,2,3,3,3,3,3,3,4,4,3,3,2,3,2,3,91,42,29,20
277,2,18,1,1,4,3,2,3,3,1,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,4,2,3,3,3,2,3,2,3,2,78,38,25,15
278,2,19,1,1,4,1,2,5,3,1,5,4,4,5,3,2,1,3,5,4,2,2,3,5,4,5,5,5,5,5,5,4,5,5,4,5,121,49,45,27
279,2,19,1,1,3,3,2,2,3,1,3,1,2,3,4,3,5,3,2,3,2,3,4,2,3,3,3,3,3,4,4,2,3,3,2,3,90,46,29,15
280,1,20,1,1,4,2,3,4,3,2,5,4,2,4,2,4,2,4,3,2,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,110,46,43,21
281,1,22,1,1,5,4,4,4,4,3,3,2,4,5,5,2,4,4,5,5,4,4,3,4,4,5,5,5,5,5,5,5,3,3,4,4,131,63,41,27
282,1,20,1,1,4,4,3,1,4,1,3,4,4,3,4,2,3,2,3,2,4,5,4,2,2,4,5,2,4,4,4,3,3,3,5,4,105,57,29,19
283,2,21,1,1,1,1,2,3,2,4,5,2,3,5,1,2,4,5,3,4,1,2,1,4,3,5,2,5,5,5,4,4,5,3,4,5,105,41,44,20
284,2,20,1,1,2,2,3,3,4,2,4,3,4,4,4,2,3,3,2,3,4,2,2,4,4,4,4,4,4,4,4,3,4,3,4,3,105,51,36,18
285,2,20,1,1,2,2,2,4,2,2,4,4,3,2,4,2,4,2,3,3,2,2,2,3,3,3,2,2,3,3,2,2,3,2,2,4,85,37,31,17
286,2,20,1,1,4,2,2,2,3,2,4,4,2,3,2,2,4,2,2,2,3,2,4,2,2,3,2,2,4,4,3,2,2,2,2,2,83,40,25,18
287,2,20,1,1,4,2,2,3,4,1,4,4,2,4,2,4,3,2,2,2,3,4,2,2,2,2,2,2,3,4,3,2,5,2,2,3,88,39,32,17
288,2,40,1,1,3,4,2,5,4,1,4,3,3,4,3,4,3,3,4,4,3,3,5,3,3,4,4,4,4,4,4,4,5,3,4,4,115,55,38,22
289,2,25,1,1,1,1,2,3,4,1,5,1,2,4,5,2,5,3,4,1,3,1,3,2,1,5,4,4,5,4,5,4,5,2,4,3,99,53,30,16
290,2,25,1,1,2,1,2,4,2,1,3,3,4,2,2,3,4,2,4,3,2,1,2,2,3,4,3,3,4,4,4,4,4,2,3,2,89,44,26,19
291,2,21,1,1,3,1,1,4,4,3,2,2,2,1,2,2,2,2,1,2,2,1,3,3,2,3,3,2,3,3,2,2,3,3,2,2,73,34,26,13
292,2,20,1,1,4,2,3,4,4,1,4,2,2,4,2,4,3,2,2,2,2,1,2,3,2,4,2,3,4,4,4,2,4,3,2,3,90,42,31,17
293,2,19,1,1,4,2,2,2,4,1,1,2,4,3,2,2,3,3,4,4,4,3,4,3,3,4,5,4,4,3,4,3,3,4,3,3,100,49,29,22
294,2,20,1,1,4,3,4,4,3,1,3,2,2,3,3,2,3,3,3,3,4,2,4,3,3,4,4,4,4,3,4,3,3,4,3,3,101,49,32,20
295,1,40,1,1,5,1,2,2,3,1,2,4,2,3,4,2,3,3,2,2,2,1,2,2,1,5,2,1,2,3,2,2,3,2,3,2,76,38,22,16
296,2,20,1,1,4,3,3,3,4,1,3,3,2,4,3,4,4,2,2,2,4,4,4,3,3,3,4,3,2,4,4,2,3,2,3,3,98,51,31,16
297,2,20,1,1,1,1,2,4,2,1,2,4,2,4,3,3,2,3,2,2,2,4,2,4,4,2,2,2,4,3,2,2,3,3,3,3,83,33,35,15
298,2,21,1,1,4,3,3,4,3,1,2,4,1,3,1,5,3,3,3,2,3,1,4,3,3,3,4,3,3,5,3,3,4,3,4,4,98,48,31,19
299,2,21,1,1,3,2,4,3,4,1,3,1,2,3,3,4,3,2,1,4,2,1,2,2,2,4,5,4,4,3,4,2,3,2,2,2,87,46,24,17
300,2,19,1,1,3,3,4,2,3,3,3,1,3,2,4,4,2,1,4,4,2,2,3,1,4,5,3,3,2,3,3,4,3,3,3,2,92,49,26,17
301,2,53,1,1,4,3,4,3,3,2,4,4,2,4,3,4,2,3,4,4,4,3,3,5,4,3,4,4,3,4,4,4,5,4,4,4,115,51,41,23
302,1,18,1,1,5,4,5,5,5,4,5,4,4,4,1,2,2,5,4,5,5,4,3,4,5,5,5,5,4,4,5,5,4,3,5,4,134,60,47,27
303,1,21,1,1,4,2,2,5,4,1,2,1,4,5,4,1,4,2,3,4,5,3,5,4,4,4,5,4,4,5,4,3,1,5,1,5,110,53,37,20
304,1,19,1,1,1,4,1,4,2,2,1,1,5,2,1,5,1,1,4,3,5,5,4,5,5,2,4,2,2,3,5,1,5,2,3,5,96,46,37,13
305,1,18,1,1,2,1,1,4,2,1,5,1,1,1,1,2,4,2,1,2,2,1,1,5,3,5,5,1,4,2,3,2,1,1,1,1,69,33,25,11
306,1,19,1,1,4,4,3,2,4,1,4,2,4,3,2,4,4,2,2,4,2,4,1,2,3,4,3,2,4,4,2,4,2,2,4,3,95,49,28,18
307,1,21,1,1,2,1,1,4,4,1,2,5,4,2,2,4,1,2,4,2,4,4,5,1,4,4,4,3,4,4,2,2,4,4,2,2,94,44,30,20
308,1,20,1,1,4,4,4,4,5,1,3,1,2,5,4,4,4,3,3,3,4,2,5,2,2,4,5,5,5,4,4,4,4,3,4,3,114,61,32,21
309,1,18,1,1,3,3,2,3,2,3,3,2,1,3,4,3,4,3,2,3,4,4,4,2,2,3,4,3,4,4,3,3,2,2,4,3,95,48,30,17
310,3,19,1,1,3,2,4,5,3,3,5,1,5,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,4,4,5,4,5,3,3,3,113,54,39,20
311,1,26,1,1,4,2,2,5,3,2,4,1,5,4,1,3,3,4,2,2,2,2,3,2,4,5,4,3,5,4,4,2,3,2,3,3,98,46,35,17
312,1,21,1,1,4,2,2,3,2,2,5,2,2,4,2,4,4,3,2,2,4,4,3,3,2,5,4,3,2,3,4,2,3,4,3,4,98,46,37,15
313,2,20,1,1,2,2,2,4,3,2,3,2,2,2,2,3,4,2,2,3,3,2,4,4,2,2,2,2,3,4,4,2,3,3,2,3,85,41,30,14
314,1,20,1,1,4,3,5,3,4,1,2,1,2,1,4,4,4,1,4,4,2,1,2,1,2,4,3,4,5,4,3,4,5,5,3,2,97,51,24,22
315,1,19,1,1,2,3,3,3,3,2,3,2,4,4,3,4,4,3,3,2,3,3,4,3,3,3,2,3,2,3,3,4,2,3,3,3,95,49,32,14
316,1,21,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,5,3,3,3,3,2,3,2,3,2,5,4,1,2,2,2,4,3,92,43,29,20
317,1,18,1,1,4,4,3,3,3,1,2,2,3,4,4,4,4,3,3,3,4,4,2,3,4,3,3,2,3,3,3,4,4,2,4,3,101,51,33,17
318,1,19,1,1,2,5,2,5,2,1,2,4,4,4,4,4,2,4,4,3,4,1,4,2,2,4,2,4,4,4,4,3,2,3,4,3,102,52,29,21
319,1,20,1,1,4,3,3,2,2,2,3,3,3,2,3,2,3,4,1,3,3,3,1,4,2,3,3,2,4,4,3,4,4,3,3,2,91,43,31,17
320,1,22,1,1,5,4,2,4,5,4,2,3,2,4,3,4,2,4,4,4,5,5,4,4,5,5,4,4,5,5,4,3,2,4,5,5,125,57,43,25
321,1,19,1,1,4,4,2,3,2,4,3,2,2,5,2,4,2,4,4,4,3,3,3,2,4,4,5,4,4,4,4,4,2,4,3,4,108,48,38,22
322,1,19,1,1,1,5,5,5,3,3,1,1,5,4,5,1,5,3,4,5,5,3,5,5,3,5,5,3,5,5,5,5,3,4,3,5,125,67,39,19
323,1,19,1,1,4,1,2,2,2,1,4,1,2,2,1,2,4,4,4,2,4,2,2,4,4,2,4,2,2,2,2,2,4,2,2,4,82,34,33,15
324,1,32,1,1,2,2,2,4,2,2,2,1,2,2,2,4,4,2,4,4,1,5,2,2,4,2,2,4,4,4,3,2,4,4,1,2,87,35,33,19
325,1,19,1,1,4,2,2,2,3,2,2,3,2,2,2,3,4,2,2,2,4,3,3,2,2,2,3,4,4,3,2,2,4,4,2,2,85,39,27,19
326,1,19,1,1,1,3,2,3,2,2,4,1,3,3,3,1,3,2,2,2,3,3,4,3,3,3,4,2,2,3,2,2,4,3,2,2,82,40,32,10
327,2,20,1,1,4,4,3,4,3,3,3,3,3,3,3,3,3,3,5,1,4,3,3,3,4,4,2,1,4,4,2,3,4,4,5,1,102,49,35,18
328,1,21,1,1,2,2,2,4,5,4,2,1,2,2,2,4,5,2,3,4,4,5,2,4,2,4,5,4,4,4,4,2,5,2,3,3,103,50,35,18
329,1,27,1,1,4,3,3,3,4,2,4,1,2,2,3,1,3,3,3,4,2,4,5,3,3,4,4,3,4,4,4,4,4,3,3,3,102,49,34,19
330,2,45,1,1,4,4,5,3,4,1,5,1,4,4,3,2,3,2,3,3,4,1,5,3,2,4,2,3,4,4,4,4,4,3,4,3,105,56,31,18
331,1,20,1,1,2,2,2,1,4,1,2,2,4,1,4,4,4,2,2,1,1,3,1,1,3,2,2,2,5,3,4,2,4,2,2,2,77,41,22,14
332,1,19,1,1,4,2,4,5,5,1,2,1,2,2,2,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,3,3,105,52,32,21
333,1,19,1,1,2,2,2,3,4,1,4,2,3,2,2,3,4,2,2,2,2,3,2,2,3,2,4,2,2,3,3,2,2,3,2,2,79,40,27,12
